ID,Attribute,Date,Value
1,No2,02-Mar2019 00:00:01,Medium
2,Temperature,02-Mar2019 00:00:01,54
3,No2,02-Mar2019 00:00:05,High
4,Emission,02-Mar2019 00:00:01,8
5,No2,02-Mar2019 00:00:09,High
6,Gas Flow,02-Mar2019 00:00:01,60
7,Gas Flow,02-Mar2019 00:00:05,71
8,RPM,02-Mar2019 00:00:01,1748
9,Emission,02-Mar2019 00:00:05,6
10,Moisture,02-Mar2019 00:00:01,66%
11,Pressure,02-Mar2019 00:00:01,2
12,Pressure,02-Mar2019 00:00:05,3
13,Moisture,02-Mar2019 00:00:05,51%
14,Fuel Rate,02-Mar2019 00:00:01,29
15,No2,02-Mar2019 00:00:13,Low
16,Fuel Rate,02-Mar2019 00:00:05,30
17,Gas Flow,02-Mar2019 00:00:09,73
18,Gas Flow,02-Mar2019 00:00:13,64
19,Temperature,02-Mar2019 00:00:05,73
20,No2,02-Mar2019 00:00:17,Medium
21,RPM,02-Mar2019 00:00:05,1006
22,Vibration,02-Mar2019 00:00:01,72
23,No2,02-Mar2019 00:00:21,Data Lost
24,Gas Flow,02-Mar2019 00:00:17,69
25,RPM,02-Mar2019 00:00:09,No Signal
26,Discharge,02-Mar2019 00:00:01,11
27,Vibration,02-Mar2019 00:00:05,90
28,RPM,02-Mar2019 00:00:13,1500
29,Pressure,02-Mar2019 00:00:09,4
30,Fuel Rate,02-Mar2019 00:00:09,25
31,Emission,02-Mar2019 00:00:09,9
32,No2,02-Mar2019 00:00:25,High
33,Gas Flow,02-Mar2019 00:00:21,76
34,Fuel Rate,02-Mar2019 00:00:13,29
35,Pressure,02-Mar2019 00:00:13,4
36,No2,02-Mar2019 00:00:29,Medium
37,Discharge,02-Mar2019 00:00:05,10
38,Moisture,02-Mar2019 00:00:09,68%
39,Emission,02-Mar2019 00:00:13,5
40,Fuel Rate,02-Mar2019 00:00:17,29
41,No2,02-Mar2019 00:00:33,Medium
42,RPM,02-Mar2019 00:00:17,1683
43,Vibration,02-Mar2019 00:00:09,68
44,No2,02-Mar2019 00:00:37,High
45,Emission,02-Mar2019 00:00:17,7
46,Temperature,02-Mar2019 00:00:09,51
47,Pressure,02-Mar2019 00:00:17,2
48,Fuel Rate,02-Mar2019 00:00:21,30
49,RPM,02-Mar2019 00:00:21,1785
50,RPM,02-Mar2019 00:00:25,1766
51,Moisture,02-Mar2019 00:00:13,63%
52,Temperature,02-Mar2019 00:00:13,62
53,Gas Flow,02-Mar2019 00:00:25,79
54,Discharge,02-Mar2019 00:00:09,20
55,Vibration,02-Mar2019 00:00:13,No Signal
56,Fuel Rate,02-Mar2019 00:00:25,29
57,Gas Flow,02-Mar2019 00:00:29,78
58,No2,02-Mar2019 00:00:41,High
